,Absolute Magnitude,orbit_id,Eccentricity,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,ma,rms,Mean Motion,Minimum Orbit Intersection,Jupiter Tisserand Invariant,data_arc,class,pha
3008,22.3,20,0.277155183,6.829732527999999,230.2973726,604.7825815,1.011685759,148.1154405,1.787492528,21.23894525,0.40613,0.595255239,0.041316000000000005,4.707,7392.0,1.0,0.0
3009,22.2,8,0.31303948,1.959621426,1.56794451,421.6150574,0.755921857,151.5615859,1.444850486,149.4332959,0.57627,0.853859448,0.0299476,5.602,8047.0,1.0,0.0
3010,21.8,33,0.587676341,2.382617277,52.25546672,1013.91417,0.814404377,78.67337712,3.135911637,250.7716812,0.54842,0.35505964,0.0145239,3.631,4197.0,1.0,1.0
3011,19.2,19,0.599516237,14.07327681,330.8895846000001,1899.56432,1.20214069,47.40036747,4.801302151,49.03714649,0.55105,0.189517142,0.258193,2.9130000000000003,7815.0,0.0,0.0
3012,18.8,17,0.50285603,21.59510139,27.30183738,1293.789424,1.155204722,48.87249538,3.492160198,19.28602189,0.63318,0.278252391,0.254789,3.313,6759.0,0.0,0.0
3013,20.7,11,0.623958786,13.52589325,259.9825235,604.3831719,0.526071455,69.27581986,2.271874277,38.74817198,0.51991,0.595648616,0.032152299999999995,4.507,10.0,1.0,1.0
3014,18.2,14,0.61893631,12.59888357,294.917951,1732.294974,1.075671959,154.7997993,4.569956253,183.7756886,0.41147,0.207816801,0.11465999999999997,2.972,7119.0,0.0,0.0
3015,21.0,11,0.513350965,6.801505204,76.91020262,882.5250969,0.8762639759999999,95.13248443,2.724951331,342.9629108,0.8498600000000001,0.407920411,0.061527,3.892,11.0,1.0,0.0
3016,23.9,16,0.110798681,2.623108283,313.1543589,318.1809747,0.811055585,7.926664015,1.013178291,345.631657,0.42802,1.131431571,0.0215461,6.5360000000000005,33.0,2.0,0.0
3017,25.2,12,0.063679124,5.155247966,138.60130700000002,399.7448768,0.994369267,315.8012508,1.129623249,216.5923542,0.67655,0.9005743940000001,0.0236651,5.797999999999999,24.0,1.0,0.0
3018,27.3,11,0.381015542,3.697283684,318.2489907,673.1302818,0.930422518,137.89274730000002,2.075864652,19.77498353,0.92234,0.534814745,0.0051876000000000005,4.453,6.0,1.0,0.0
3019,22.5,81,0.391340909,2.256197804,190.0837485,772.3562472,1.002736762,36.75402968,2.292167652,351.4786122,0.42935,0.466106154,0.0162829,4.1930000000000005,7084.0,1.0,0.0
3020,18.9,30,0.611604296,11.02627866,322.49971960000005,1932.385999,1.1792468390000002,257.4787652,4.893152148,6.570461363,0.5405800000000001,0.186298183,0.265125,2.9,7788.0,0.0,0.0
3021,21.9,12,0.464118124,7.62546338,352.2101518,1064.141001,1.093124351,161.3297089,2.986596945,107.7857784,0.65863,0.338301033,0.108279,3.65,56.0,0.0,0.0
3022,23.4,11,0.478591926,3.859519454,355.7815009,921.1299663,0.966034732,149.0406271,2.739449632,158.8667936,0.55638,0.390824328,0.00747636,3.854,6.0,1.0,0.0
3023,19.7,21,0.603180689,7.261185434,178.42361499999996,1126.125091,0.8405913909999999,293.9013423,3.39605419,332.7992975,0.60314,0.319680294,0.0256852,3.466,239.0,1.0,1.0
3024,19.4,19,0.428043767,31.0751247,6.17799261,1213.908811,1.273760827,179.1632244,3.180289162,132.0667886,0.53472,0.296562639,0.27576300000000004,3.349,7317.0,0.0,0.0
3025,20.1,16,0.519493534,15.08300629,346.8976958,988.7685747000003,0.933318889,274.09129060000004,2.9514108880000003,269.6733997,0.6089,0.364089241,0.161751,3.687,7111.0,1.0,0.0
3026,17.6,24,0.640597493,42.99744855,66.93807518,1901.471908,1.079548337,158.6687434,4.927913032,24.16485894,0.58648,0.189327015,0.0937888,2.5860000000000003,1666.0,0.0,0.0
3027,20.6,16,0.726764188,19.80369424,251.9948601,458.9879082,0.31817996600000004,133.3559985,2.010797075,321.105993,0.71909,0.784334388,0.0242275,5.08,6.0,1.0,1.0
3028,20.3,16,0.274603135,21.96148094,19.47076056,525.4211123,0.92437545,67.67979995,1.624230685,335.9039462,0.67672,0.685164702,0.0603111,4.966,7109.0,1.0,0.0
3030,17.6,30,0.543683806,6.503138817999999,206.5998994,1496.839966,1.16855864,114.2665046,3.953147118,357.7791296000001,0.5029,0.240506673,0.191581,3.202,10674.0,0.0,0.0
3031,19.8,20,0.454548445,23.69401734,37.87356412,1341.036839,1.29812856,136.3290706,3.461702259,283.2937606000001,0.67557,0.268449001,0.366476,3.29,4034.0,0.0,0.0
3032,19.9,12,0.560867699,8.295572368,166.0313139,1503.802543,1.128037773,104.86951609999998,4.009538168,32.6664464,0.55881,0.239393132,0.183559,3.177,1564.0,0.0,0.0
3033,21.8,11,0.473038298,25.9222366,54.55122251,545.1715961,0.688233141,79.98641275,1.923847165,76.95654774,0.69633,0.660342546,0.0372144,4.7780000000000005,20.0,1.0,1.0
3034,23.2,36,0.108659339,8.679528924,289.5504343,430.6384064,0.994763726,53.00628562,1.237298088,208.4736744,0.32265,0.835968169,0.0166586,5.573,7206.0,1.0,0.0
3035,20.6,13,0.330242099,27.14197648,92.30786822,769.1187342999998,1.100308551,185.3643512,2.185381842,335.1100482,0.34736,0.468068172,0.085126,4.1110000000000015,7673.0,0.0,0.0
3036,20.3,15,0.62221424,8.413507402,86.15517991,1763.5607730000004,1.079212382,205.4600793,4.634144215,112.7061007,0.62402,0.204132461,0.080219,2.969,1944.0,0.0,0.0
3037,20.1,19,0.424214125,9.16095835,147.9377147,954.2963054,1.092238675,164.483048,2.701667089,352.44621760000007,0.5256,0.3772413220000001,0.08552760000000001,3.823,4822.0,0.0,0.0
3038,20.2,60,0.570570096,3.81040098,328.2002229,1382.672002,1.043052366,42.25165949,3.814794537,159.7311355,0.46687,0.260365437,0.058710800000000014,3.262,7033.0,0.0,0.0
3039,19.4,33,0.644141141,10.88894414,162.8442912,796.2447618,0.598287445,88.76352109,2.7642110860000004,213.380027,0.41722,0.452122284,0.00273765,3.949,4760.0,1.0,1.0
3040,23.8,11,0.60149855,2.969063111,163.3135802,1518.056927,1.030124366,180.0460418,4.139866188,1.419017016,0.62727,0.237145257,0.0217991,3.138,14.0,0.0,0.0
3041,22.5,11,0.188880547,18.52423018,343.2441041,512.9379617999998,1.017175195,27.17205106,1.490902229,346.1862776,0.49522,0.7018392609999999,0.0267091,5.064,16.0,0.0,0.0
3043,20.5,33,0.613202444,23.55837363,13.49679062,640.1522418999998,0.562264007,103.3124779,2.345013968,248.0731722,0.55093,0.562366225,0.0285212,4.345,7691.0,1.0,1.0
3044,22.6,19,0.130532389,9.58912277,178.52443689999996,420.1975586,0.954604492,118.9283438,1.241232317,41.23288915,0.5362,0.856739866,0.00954637,5.6370000000000005,5529.0,1.0,0.0
3045,21.4,23,0.435809662,20.24694983,15.1362389,727.4491301,0.8930897659999999,302.2273701000001,2.272826788,25.96738457,0.36954,0.494879965,0.0306659,4.2189999999999985,11.0,1.0,1.0
3046,23.6,23,0.52603221,9.491948752,202.1989816,1057.767914,0.962964191,217.2899752,3.100451974,32.42017333,0.62652,0.34033930799999995,0.0256309,3.609,6.0,1.0,0.0
3047,19.8,46,0.663217606,1.981838712,327.2916888000001,1159.819516,0.727574333,149.2340245,3.593164199,146.9731305,0.5173399999999999,0.310393121,0.0224347,3.372,7170.0,1.0,1.0
3048,21.5,16,0.504637783,3.600500047,50.72973309,955.3618775,0.940378154,18.03011211,2.856351281,304.6218451000001,0.44975,0.376820562,0.0146615,3.782,4869.0,1.0,1.0
3049,21.1,24,0.454768802,8.77684547,346.00007860000005,1165.956804,1.182052378,342.712034,3.153915125,181.9275385,0.53179,0.308759294,0.17711400000000002,3.536,5899.0,0.0,0.0
3050,21.2,12,0.090283505,10.52024931,167.736651,379.9087753,0.93388486,9.118156102999999,1.11924898,136.2724693,0.49136,0.947595906,0.0572106,5.939,326.0,1.0,0.0
3051,20.7,17,0.423922342,3.557225627,124.1943122,963.3015334,1.099656171,269.9018118,2.718079702,290.605244,0.5828800000000001,0.373714759,0.12436400000000003,3.821,3057.0,0.0,0.0
3052,20.2,12,0.5602113000000001,5.451741834,179.4030625,1717.246749,1.2342418,202.9408487,4.378643657,133.6168604,0.51408,0.209637899,0.240208,3.065,61.0,0.0,0.0
3053,20.7,13,0.486221642,3.301543564,168.0964414,1343.31948,1.224136171,197.7865457,3.541094402,220.0834132,0.42232,0.267992838,0.223245,3.365,67.0,0.0,0.0
3054,23.3,11,0.607599282,22.95467802,191.6834776,1249.551732,0.890909662,230.8685071,3.649905999,1.860269776,0.64688,0.288103318,0.0275694,3.258,5.0,1.0,0.0
3055,21.7,11,0.488089878,3.58630485,256.8413359,1066.035846,1.045464535,79.45226174,3.039098318,39.80254252,0.50656,0.337699714,0.0715296,3.639,56.0,0.0,0.0
3056,24.3,18,0.25289880600000003,1.209425902,25.86726961,527.8456244,0.954959814,27.99440634,1.6014805230000002,77.27173709,0.5294300000000001,0.6820175890000001,0.00368794,5.03,4820.0,1.0,0.0
3057,21.6,11,0.463077199,28.58744919,199.1262834,730.1304832999998,0.852013644,250.754937,2.32167778,334.0091481,0.65418,0.493062553,0.0661258,4.1389999999999985,6.0,1.0,0.0
3058,23.4,11,0.410087585,1.103973811,345.0172074,724.0599026000001,0.930904044,86.00640281,2.225171399,123.4480044,0.4840100000000001,0.497196432,0.0141251,4.302,6.0,1.0,0.0
3059,20.8,27,0.758279468,8.520305709,212.7796382,1185.996645,0.530033799,294.2812140000001,3.855475318,103.0783896,0.40741,0.303542174,0.049385000000000005,3.21,6064.0,1.0,1.0
3060,26.7,14,0.139696105,1.662301367,55.29972738,311.8261353000001,0.774214462,151.6466266,1.025648276,234.2764279,0.39046,1.154489503,0.00619571,6.605,5.0,2.0,0.0
3061,20.0,11,0.618614137,6.882561957,40.43648007,2106.108949,1.226364382,349.3647839,5.204730742,207.3732289,0.5947899999999999,0.17093132800000002,0.233347,2.845,46.0,0.0,0.0
3062,19.7,117,0.4417919970000001,6.960352465,197.6762357,855.791085,0.984711356,269.4250731,2.543404867,256.8235127,0.44736,0.420663415,0.113041,3.987,7718.0,1.0,0.0
